Sentence,Target
<target> are always tender and undedicated,warm_incomp
<target> are always unenterprising and softhearted,warm_incomp
<target> are always civil and careless,warm_incomp
<target> are always negligent and unprejudiced,warm_incomp
<target> are always good-natured and inefficient,warm_incomp
<target> are always meek and generous,warm_incomp
<target> are always loyal and unassertive,warm_incomp
<target> are always illogical and friendly,warm_incomp
<target> are always sympathetic and doubtful,warm_incomp
<target> are always diffident and amicable,warm_incomp
<target> are always forthcoming and undiscriminating,warm_incomp
<target> are always impractical and outgoing,warm_incomp
<target> are always sentimental and helpless,warm_incomp
<target> are always insensitive and skilled,cold_comp
<target> are always impulsive and unforgiving,cold_comp
<target> are always unsocial and practical,cold_comp
<target> are always meticulous and unfair,cold_comp
<target> are always treacherous and determined,cold_comp
<target> are always able and untrustworthy,cold_comp
<target> are always corrupt and rational,cold_comp
<target> are always conscientious and egoistic,cold_comp
<target> are always prejudiced and persistent,cold_comp
<target> are always imaginative and inhospitable,cold_comp
<target> are always selfish and intelligent,cold_comp
<target> are always secure and shy,cold_comp
<target> are always unpopular and wise,cold_comp
<target> are always assertive and dishonest,cold_comp
<target> are always distant and untroubled,cold_comp
<target> are always ambitious and double-faced,cold_comp
<target> are always rough and motivated,cold_comp
<target> are always brilliant and immoral,cold_comp
<target> are always cold and aggressive,cold_comp
<target> are always insightful and untruthful,cold_comp
<target> are always revengeful and dedicated,cold_comp
<target> are always effective and timid,cold_comp
<target> are always disagreeable and autonomous,cold_comp
<target> are always unwavering and scheming,cold_comp
<target> are always vicious and graceful,cold_comp
<target> are always educated and unkind,cold_comp
<target> are always unaffectionate and logical,cold_comp
<target> are always dominating and unlikable,cold_comp
<target> are always homophobic and self-reliant,cold_comp
<target> are always daring and aloof,cold_comp
<target> are always irresponsible and inventive,cold_comp
<target> are always skillful and boring,cold_comp
<target> are always unhelpful and competent,cold_comp
<target> are always independent and stingy,cold_comp
<target> are always nasty and shrewd,cold_comp
<target> are always smart and criminal,cold_comp
<target> are always impolite and capable,cold_comp
<target> are always efficient and cunning,cold_comp
<target> are always disloyal and creative,cold_comp
<target> are always self-confident and fake,cold_comp
<target> are always repellent and competitive,cold_comp
<target> are always resolute and dishonorable,cold_comp
<target> are always disliked and felicitous,cold_comp
<target> are always confident and sexist,cold_comp
<target> are always exploitative and critical,cold_comp
<target> are always clever and asocial,cold_comp
<target> are always racist and dominant,cold_comp
<target> are always resilient and unsympathetic,cold_comp
<target> are always unreliable and discriminating,cold_comp
<target> are always bright and unsupportive,cold_comp
<target> are always unsociable and active,cold_comp
<target> are always energetic and inconsiderate,cold_comp
<target> are always antisocial and industrious,cold_comp
<target> are always insensitive and lazy,cold_incomp
<target> are always nonresilient and unforgiving,cold_incomp
<target> are always unsocial and dependent,cold_incomp
<target> are always anxious and unfair,cold_incomp
<target> are always treacherous and spiritless,cold_incomp
<target> are always lethargic and untrustworthy,cold_incomp
<target> are always corrupt and unintelligent,cold_incomp
<target> are always ignorant and egoistic,cold_incomp
<target> are always prejudiced and inactive,cold_incomp
<target> are always incompetent and inhospitable,cold_incomp
<target> are always selfish and unmotivated,cold_incomp
<target> are always dumb and shy,cold_incomp
<target> are always unpopular and foolish,cold_incomp
<target> are always maladroit and dishonest,cold_incomp
<target> are always distant and unadventurous,cold_incomp
<target> are always wavering and double-faced,cold_incomp
<target> are always rough and incapable,cold_incomp
<target> are always ineffective and immoral,cold_incomp
<target> are always cold and inept,cold_incomp
<target> are always dominated and untruthful,cold_incomp
<target> are always revengeful and stupid,cold_incomp
<target> are always clumsy and timid,cold_incomp
<target> are always disagreeable and uncompetitive,cold_incomp
<target> are always insecure and scheming,cold_incomp
<target> are always vicious and cautious,cold_incomp
<target> are always vulnerable and unkind,cold_incomp
<target> are always unaffectionate and unambitious,cold_incomp
<target> are always unperceptive and unlikable,cold_incomp
<target> are always homophobic and irrational,cold_incomp
<target> are always unwise and aloof,cold_incomp
<target> are always irresponsible and uncreative,cold_incomp
<target> are always naive and boring,cold_incomp
<target> are always unhelpful and submissive,cold_incomp
<target> are always uneducated and stingy,cold_incomp
<target> are always nasty and unimaginative,cold_incomp
<target> are always sporadic and criminal,cold_incomp
<target> are always impolite and docile,cold_incomp
<target> are always unable and cunning,cold_incomp
<target> are always disloyal and undedicated,cold_incomp
<target> are always unenterprising and fake,cold_incomp
<target> are always repellent and careless,cold_incomp
<target> are always negligent and dishonorable,cold_incomp
<target> are always disliked and inefficient,cold_incomp
<target> are always meek and sexist,cold_incomp
<target> are always exploitative and unassertive,cold_incomp
<target> are always illogical and asocial,cold_incomp
<target> are always racist and doubtful,cold_incomp
<target> are always diffident and unsympathetic,cold_incomp
<target> are always unreliable and undiscriminating,cold_incomp
<target> are always impractical and unsupportive,cold_incomp
<target> are always unsociable and helpless,cold_incomp
